Params;MeanMAE;MeanR2
{'activation': 'tanh', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'sgd'};-0.32238800306016235;0.5856073645510876
{'activation': 'tanh', 'alpha': 5e-05, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'sgd'};-0.3310947941049452;0.5949684412783488
{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 2000, 'solver': 'sgd'};-0.2886877476658026;0.6036833505793886
{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'sgd'};-0.3168494453934;0.6213069706494752
{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'sgd'};-0.30896575053893083;0.6269439209068297
{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'adam'};-0.2868407608241698;0.6280790642642102
{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'sgd'};-0.31021507914324575;0.6291342258819274
{'activation': 'tanh', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'sgd'};-0.30292901706818554;0.6356593474632661
{'activation': 'tanh', 'alpha': 5e-05, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'adam'};-0.28139391095896826;0.6782249125711229
{'activation': 'tanh', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'adam'};-0.26917322851198017;0.6802230348579328
{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'sgd'};-0.27366137403412577;0.6999464828992006
{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'sgd'};-0.28546931166497685;0.7072613857927317
{'activation': 'tanh', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 2000, 'solver': 'adam'};-0.2594597924183465;0.710439991445277
{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 1000, 'solver': 'sgd'};-0.25713018247054037;0.7122373614584645
{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'sgd'};-0.27331001515191106;0.7126672741919615
{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 1000, 'solver': 'sgd'};-0.2576261372123224;0.7218239391616115
{'activation': 'relu', 'alpha': 5e-05, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.01, 'max_iter': 2000, 'solver': 'sgd'};-0.2545199732506674;0.7219814024317526
{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'sgd'};-0.27919652903218967;0.7261771372662205
{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'adam'};-0.25475286922859175;0.7271319923370849
{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.01, 'max_iter': 1000, 'solver': 'adam'};-0.25489135749101743;0.727313667080921
{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.01, 'max_iter': 1000, 'solver': 'adam'};-0.2528731865624317;0.7287882910761986
{'activation': 'tanh', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 2000, 'solver': 'adam'};-0.24389706004696196;0.7295567227862204
{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'adam'};-0.2398318607871838;0.7317832767407013
{'activation': 'relu', 'alpha': 5e-05, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'sgd'};-0.26416765890671534;0.7374454854275604
{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 1000, 'solver': 'sgd'};-0.24674072714888567;0.7494559483187766
{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.01, 'max_iter': 1000, 'solver': 'sgd'};-0.2338061871246711;0.7536255893281306
{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 2000, 'solver': 'sgd'};-0.23435497400836997;0.7639154202044678
{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'adam'};-0.24905831804179762;0.7721436613002236
{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.01, 'max_iter': 2000, 'solver': 'adam'};-0.2364034465395119;0.7729622221433704
{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'sgd'};-0.24877156855984212;0.773348941633827
{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'adam'};-0.24164568155836416;0.7774635109575041
{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.01, 'max_iter': 2000, 'solver': 'adam'};-0.23325995324358445;0.7790809287504279
{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 1000, 'solver': 'sgd'};-0.22390921068370248;0.7814982463002306
{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'sgd'};-0.2481190001560892;0.7822724801973749
{'activation': 'tanh', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 1000, 'solver': 'adam'};-0.22751612734402255;0.7855335727495396
{'activation': 'relu', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'sgd'};-0.23959460343899633;0.7889007341550485
{'activation': 'tanh', 'alpha': 5e-05, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.01, 'max_iter': 2000, 'solver': 'adam'};-0.23107894847356764;0.7913604900347826
{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'sgd'};-0.24643671659356053;0.7928235732958699
{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'sgd'};-0.23902178333102436;0.7932862682070941
{'activation': 'relu', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'adam'};-0.22353540121178622;0.793345708846996
{'activation': 'tanh', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'adam'};-0.2248721238572252;0.794690269083499
{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 2000, 'solver': 'sgd'};-0.2254732454217477;0.7955269317492977
{'activation': 'relu', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 2000, 'solver': 'sgd'};-0.22229481353557815;0.7958398180119512
{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 2000, 'solver': 'sgd'};-0.21445657898957368;0.796483430118232
{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.01, 'max_iter': 2000, 'solver': 'sgd'};-0.23153965731769316;0.797547013042357
{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'adam'};-0.22412160105747034;0.798192745125198
{'activation': 'tanh', 'alpha': 5e-05, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.01, 'max_iter': 1000, 'solver': 'adam'};-0.22117495155947803;0.8022258382844057
{'activation': 'relu', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'sgd'};-0.24992960337056164;0.8073218444190271
{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'adam'};-0.2255646316897777;0.8111365826685747
{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'adam'};-0.2321803243049907;0.8111612441752447
{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 1000, 'solver': 'adam'};-0.21941826807426895;0.8152891580569719
{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'adam'};-0.22638663011596744;0.8185970488949021
{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'sgd'};-0.24115082680702765;0.8212859153424837
{'activation': 'relu', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'sgd'};-0.24283694627626554;0.8213097887789738
{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.01, 'max_iter': 1000, 'solver': 'sgd'};-0.20644284980194544;0.8244887006181296
{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'sgd'};-0.24063537449347092;0.8264371446181255
