;date;time;weekday;pedestrians count;temperature in ºc;weather condition;months;hour;school holiday;holiday;Rain;Drizzle;Snow;Mist;Clear;Clouds;January;February;March;April;May;June;July;August;September;October;November;December;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;00:00:00;01:00:00;02:00:00;03:00:00;04:00:00;05:00:00;06:00:00;07:00:00;08:00:00;09:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00;temperature
19;2018-05-01;19:00:00;Tuesday;1433;13.0;partly-cloudy-day;05;19;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.0313559335894922
20;2018-05-01;20:00:00;Tuesday;906;12.0;partly-cloudy-day;05;20;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;-0.09862097007242943
21;2018-05-01;21:00:00;Tuesday;418;11.0;partly-cloudy-night;05;21;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;-0.22859787373435103
22;2018-05-01;22:00:00;Tuesday;214;9.0;partly-cloudy-night;05;22;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-0.4885516810581943
23;2018-05-01;23:00:00;Tuesday;167;8.0;partly-cloudy-night;05;23;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-0.618528584720116
24;2018-05-02;00:00:00;Wednesday;57;7.0;partly-cloudy-night;05;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.7485054883820376
25;2018-05-02;01:00:00;Wednesday;24;6.0;partly-cloudy-night;05;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.8784823920439592
26;2018-05-02;02:00:00;Wednesday;21;5.0;partly-cloudy-night;05;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.0084592957058809
27;2018-05-02;03:00:00;Wednesday;12;5.0;partly-cloudy-night;05;3;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.0084592957058809
28;2018-05-02;04:00:00;Wednesday;12;4.0;partly-cloudy-night;05;4;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.1384361993678025
29;2018-05-02;05:00:00;Wednesday;43;4.0;partly-cloudy-night;05;5;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.1384361993678025
