Model;MAE_train;MAE_test;R2_train;R2_test
Base Scenario;349.73247642040303;457.666501517907;0.9647845059978767;0.9416819463077155
RandomSearch;392.8511105380722;410.18729166596154;0.949452852121875;0.9477544234487119
GridSearch;321.7557992662744;442.351770159921;0.9681520121000601;0.9348301039790186
