Model;Scenario;MAE_train;MAE_test;R2_train;R2_test
MLP Regressor;Base Scenario;346.9647016679621;458.8047903073948;0.9651498057135266;0.9409152035801064
MLP Regressor Subset;Base Scenario;164.72736324551636;943.7990613564448;0.9915752838493908;0.8120954813161181
MLP Regressor Subset;RandomSearch;422.899468249907;816.5853460251162;0.9589988656746632;0.8351151309607723
MLP Regressor Subset;GridSearch;157.12753960996298;939.964346345721;0.9936496662943098;0.81664276289045
MLP Regressor;Partly optimisation;415.74556768056004;425.2010805221819;0.9398397559406796;0.9409276358184147
MLP Regressor;GridSearch;304.1984277880612;441.38959357171956;0.9706547035544209;0.9325425720160999
